Fecha sistema,Fecha (DD/MM/AAAA),Nombre del índice,Índice,Variación absoluta,Variación porcentual
08/09/2026 12:56:07,2008-05-21 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1015.6038,6.1207,0.6063
08/09/2026 12:56:07,2008-05-22 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1008.6685,-6.9353,-0.6829
08/09/2026 12:56:07,2008-05-23 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1003.0714,-5.5971,-0.5549
08/09/2026 12:56:07,2008-05-27 00:00:00,Índice del mercado bursátil colombiano - COLCAP,999.4953,-3.5761,-0.3565
08/09/2026 12:56:07,2008-05-28 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1000.2254,0.7301,0.073
08/09/2026 12:56:07,2008-05-29 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1010.1485,9.9231,0.9921
08/09/2026 12:56:07,2008-05-30 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1019.7793,9.6308,0.9534
08/09/2026 12:56:07,2008-06-03 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1004.7982,-14.9811,-1.4691
08/09/2026 12:56:07,2008-06-04 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1015.9158,11.1176,1.1065
08/09/2026 12:56:07,2008-06-05 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1015.3603,-0.5555,-0.0547
08/09/2026 12:56:07,2008-06-06 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1013.7311,-1.6292,-0.1605
08/09/2026 12:56:07,2008-06-09 00:00:00,Índice del mercado bursátil colombiano - COLCAP,1004.2774,-9.4537,-0.9326
08/09/2026 12:56:07,2008-06-10 00:00:00,Índice del mercado bursátil colombiano - COLCAP,990.4982,-13.7792,-1.3721
08/09/2026 12:56:07,2008-06-11 00:00:00,Índice del mercado bursátil colombiano - COLCAP,989.3905,-1.1077,-0.1118
08/09/2026 12:56:07,2008-06-12 00:00:00,Índice del mercado bursátil colombiano - COLCAP,990.2888,0.8983,0.0908
08/09/2026 12:56:07,2008-06-13 00:00:00,Índice del mercado bursátil colombiano - COLCAP,991.8508,1.562,0.1577
08/09/2026 12:56:07,2008-06-16 00:00:00,Índice del mercado bursátil colombiano - COLCAP,991.657,-0.1938,-0.0195
08/09/2026 12:56:07,2008-06-17 00:00:00,Índice del mercado bursátil colombiano - COLCAP,979.8443,-11.8127,-1.1912
